
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Clock_info03a.csv
#     Report Created by: team3_03
#     Report Created on:  Thu Oct  7 17:14:15 2021
#     Working Directory: /home/users/team3_03/Desktop/design2021/spyglass
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-6
#     Policy Name      : clock-reset(SpyGlass_vQ-2020.03-SP2-06)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
ID,UNCONSTRAINED_NET,WAIVED
10,'soctop.u_top.comp.u_Compute.Mul8X8_clock',no
11,'soctop.u_top.comp.u_Compute.Mul8X8_1_clock',no
12,'soctop.u_top.comp.u_Compute.Mul8X8_2_clock',no
13,'soctop.u_top.comp.u_Compute.Mul8X8_3_clock',no
14,'soctop.u_top.comp.u_Compute.Mul8X8_4_clock',no
15,'soctop.u_top.comp.u_Compute.Mul8X8_5_clock',no
16,'soctop.u_top.comp.u_Compute.Mul8X8_6_clock',no
17,'soctop.u_top.comp.u_Compute.Mul8X8_7_clock',no
18,'soctop.u_top.comp.u_Compute.Mul8X8_8_clock',no
19,'soctop.u_top.comp.u_Compute.Mul8X8_9_clock',no
1A,'soctop.u_top.comp.u_Compute.Mul8X8_10_clock',no
1B,'soctop.u_top.comp.u_Compute.Mul8X8_11_clock',no
1C,'soctop.u_top.comp.u_Compute.Mul8X8_12_clock',no
1D,'soctop.u_top.comp.u_Compute.Mul8X8_13_clock',no
1E,'soctop.u_top.comp.u_Compute.Mul8X8_14_clock',no
1F,'soctop.u_top.comp.u_Compute.Mul8X8_15_clock',no
20,'soctop.clk',no
21,'soctop.u_picosoc.memory.clock',no
