################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: team3_03
#     Report Created on: Thu Oct  7 17:14:16 2021
#     Working Directory: /home/users/team3_03/Desktop/design2021/spyglass
#     Report Location  : ./spyglass-1/soctop/cdc/cdc_setup_check/spyglass_reports/clock-reset/Setup_library01/001/setuplibrary_01.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-6
#     Policy Name      : clock-reset(SpyGlass_vQ-2020.03-SP2-06)
#     Comment          : CSV File for Complex Lib Cell Pins info

#
################################################################################
##Sheet_Prop:disable_row_filtering
#RuleName:Setup_library01
#InstName:soctop.u_picosoc.memory.u_mem256x32
#LibCellName:mem256x32
##Sheet_Prop:disable_msg_grouping
ID,Pin Name,Type,Clock Pins,Top-level Clocks(domains),Mutiple arcs with different clocks
##Sheet_Prop:coltooltip:3##inferred attribute of the pin
##Sheet_Prop:coltooltip:6##Whether multiple clock pins are selected with atleast one having different domain
1,Q[0:31],output,"CLK","<unconstrained>",no
2,WEN[0:31],input,"CLK","<unconstrained>",no
3,A[0:7],input,"CLK","<unconstrained>",no
4,D[0:31],input,"CLK","<unconstrained>",no
5,EMA[0:2],constant,N.A,N.A,N.A
6,EMAW[0:1],constant,N.A,N.A,N.A
7,CLK,clock,N.A,"<unconstrained>",N.A
8,CEN,constant,N.A,N.A,N.A
9,GWEN,input,"CLK","<unconstrained>",no
10,RET1N,constant,N.A,N.A,N.A
